id_proyecto,Proyecto,Descripción del proyecto,Proyectos de exportación estratégica de largo plazo (PEELP),empresa,titular_proyecto,CUIT,sector,subsector,provincia,localidad_region,Monto (mill. USD),Activos Computables (mill. USD),Empleos (directos e indirectos),Estado administrativo,fecha_presentacion,fecha_adhesion_rigi,fecha_publicacion_bo,fecha_aprobacion,norma_aprobacion,link_norma,Fuentes,Fuentes (original),Links fuentes (original),Clasificación preexistencia BO,Justificación preexistencia BO
11,Proyecto Terminal Multipropósito Timbúes,"Construcción de una puerta de enlace multimodal y un punto estratégico de conexión en la Vía Navegable Troncal, también llamada “Hidrovía Paraguay – Paraná”, con el desarrollo de tres (3) unidades de gestión portuaria que buscarán optimizar las operaciones logísticas de carga, descarga, almacenamiento y despacho de distintos tipos de mercaderías, atendiendo a las necesidades de tráfico marítimo y terrestre de la zona",No,Terminales y Servicios S.A. (Argentina),Terminal Timbúes S.A.,30-71891156-3,Infraestructura,Portuario,Santa Fe,Centro,277,277,9700,Aprobado,2025-04-10,2025-10-23,2025-11-19,2025-11-19,Res. 1842/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/334814/20251120,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1842/2025; MECON,Res. 1842/2025; Globaris; MECON,,No,La resolución del Proyecto Terminal Multipropósito Timbúes aprueba la construcción y operación de una nueva terminal portuaria compuesta por tres unidades logístico‑portuarias; la norma no menciona ninguna infraestructura portuaria previa.
12,Vaca Muerta Oleoducto Sur (VMOS),"Consiste en la construcción y desarrollo de un oleoducto, Iincrementar la capacidad de transporte y almacenamiento de petróleo crudo viabilizando la exportación de hidrocarburos provenientes de la formación “Vaca Muerta”",Sí,YPF S.A. (Argentina) · Pan American Energy (PAE) (Argentina) · Vista Energy (Argentina) · Pampa Energía (Argentina) · Pluspetrol (Argentina) · Chevron (Estados Unidos) · Tecpetrol S.A. (Argentina) · Shell (Reino Unido) · Gas y Petróleo del Neuquén S.A. (Argentina),VMOS S.A.,30-718713354,Petróleo y Gas,Midstream,Río Negro,Patagonia,2900,2486,3108,Aprobado,2024-11-15,2025-03-06,2025-03-20,2025-03-20,Res. 302/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/322830/20250321,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 302/2025; MECON,Res. 302/2025; Globaris; MECON,,No,La resolución del oleoducto VMOS describe la construcción de un oleoducto de 437 km y terminales de exportación para incrementar la capacidad de transporte de petróleo; no se mencionan ampliaciones de un oleoducto existente.
13,Ampliación Fases 8 y 9 del Sistema de Lixiviación en Valle de Mina Veladero,"Proyecto de ampliación comprende la construcción, puesta en marcha y operación de nuevas plataformas del sistema de lixiviación en el valle, definido como el sistema de procesamiento de mineral en la mina Veladero donde se apila el material y se irriga con soluciones para lixiviar el oro y la plata de la mina Veladero, denominadas “Fase 8 y Fase 9”, así como la posterior exportación de los metales preciosos (bullion doré, una aleación de oro y plata) contenidos en el mineral",No,Barrick Gold Corporation (Canadá); Shandong Gold (China),Minera Andina del Sol S.R.L. Sucursal Dedicada 1 (“MAS-SD1”),30-71906943-2,Minería,Oro y Plata,San Juan,Cuyo,436,380,1048,Aprobado,2025-08-04,2026-01-28,2026-03-30,2026-03-30,Res. 413/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/340249/20260401,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 413/2026; MECON,Res. 413/2026; Globaris; MECON,,Sí,"La resolución para las Fases 8 y 9 del Sistema de Lixiviación en Valle de Mina Veladero señala que se trata de una ampliación de un proyecto preexistente (Fases 1–7), agregando nuevas fases al sistema de lixiviación."
17,Ampliación Caucharí Olaroz,"Que conforme surge de la presentación, se trata de la ampliación de un proyecto preexistente denominado Cauchari Olaroz con una capacidad productiva instalada de cuarenta mil toneladas (40.000 t) por año de carbonato de litio equivalente (en adelante LCE).",No,Ganfeng (China); Lithium Argentina (Suiza); JEMSE (Argentina),Minera Exar Sucursal Dedicada (“EXARSD”),30-71924298-3,Minería,Litio,Jujuy,NOA,1241,1167,1787,Aprobado,2025-05-18,2026-05-09,2026-06-04,2026-06-04,Res. 825/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/342818/20260605,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 825/2026; MECON,"Res. 825/2026, Globaris; MECON",,Sí,La resolución del proyecto “Ampliación Cauchari Olaroz” indica que se trata de la ampliación de un proyecto preexistente de 40.000 t/año de LCE; se construirá infraestructura adicional para incrementar la capacidad en 45.000 t/año.
25,Proyecto Rincón de Aranda (RDA),"Consiste en: (i) la explotación de nuevos pozos hidrocarburíferos en el área RDA; (ii) el desarrollo, operación y/o prestación del servicio de tratamiento, procesamiento, almacenamiento y transporte del petróleo, gas natural y agua extraídos por PAMPA ENERGÍA SOCIEDAD ANÓNIMA - SUCURSAL DEDICADA PROYECTO RDA del área RDA y/o prestados a terceros, y la disposición final del agua incluyendo, la construcción y operación de plantas, oleoductos y gasoductos; y en (iii) la exportación y/o comercialización de los hidrocarburos y sus derivados obtenidos de la explotación de los nuevos pozos a desarrollarse en el área RDA.",Sí,Pampa Energía (Argentina),Sucursal Dedicada Midstream RDA,30-71901911-7,Petróleo y Gas,Petróleo y Gas,Neuquén,Patagonia,4522,4521,1733,Aprobado,2026-03-09,2026-06-25,2026-07-21,2026-07-21,Res. 1025/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/344628/20260721,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1025/2026; MECON,Res. 1025/2026; Globaris; MECON,,Sí,"Se identifican signos fuertes de preexistencia. El Proyecto Rincón de Aranda no surge con la resolución publicada el 21/07/2026. Antes de esa fecha existían antecedentes societarios, operativos, financieros y ambientales: Pampa Energía adquirió el control total del bloque en 2023; la etapa inicial del plan aprobado se declara iniciada el 08/07/2024; en 2024 ya existían EIAs y audiencias públicas para la CPF, oleoductos y gasoductos asociados; en 2025 la empresa ya informaba inversiones, solicitud RIGI, producción y pozos en operación. Por lo tanto, corresponde clasificarlo como proyecto preexistente al anuncio/aprobación oficial, aunque formalizado y ampliado bajo el RIGI como PEELP."
26,Sal de Oro II,"Construcción de una planta destinada a la producción de carbonato de litio y su infraestructura complementaria. La planta tendrá una capacidad operativa aproximada de 23.000 toneladas anuales, que se obtendrá a través de un proceso convencional de evaporación solar y tratamiento químico de salmuera.",No,Posco (Corea del Sur),Posco Argentina SAU SDE,30-71922048-3,Minería,Litio,Salta; Catamarca,NOA,547,208,2335,Aprobado,2024-10-30,2026-06-12,2026-07-31,2026-07-31,Res. 1157/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/345279/20260731,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1157/2026; MECON,Res. 1157/2026; Globaris; MECON,,Sí,"Signos fuertes de preexistencia del Proyecto Sal de Oro II. POSCO Holdings aprobó la inversión de la segunda fase en octubre de 2022; en junio de 2023, antes del primer anuncio del RIGI, el Gobierno nacional y la empresa comunicaron el inicio de construcción de una planta de carbonato de litio de 23.000 toneladas anuales; y en abril de 2024 POSCO obtuvo financiamiento por hasta USD 668 millones para esa misma fase. Las coincidencias de empresa, localización, producto, capacidad y etapa indican que se trata sustancialmente del mismo proyecto incorporado posteriormente al régimen."
28,Proyecto de la Sucursal Dedicada de Liex S.A.,"Construcción y operación de una planta de proceso y de la infraestructura asociada, diseñadas para alcanzar una capacidad de producción de cuarenta mil (40.000) toneladas anuales de carbonato de litio mediante el método de extracción directa",,Zijin Mining (LieX S.A.) (China),LIEX S.A.,30-71929244-1,Minería,Litio,Catamarca,NOA,710,594,4406,Aprobado,2026-02-10,2026-07-03,2026-07-29,2026-07-29,Res. 1153/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/345075/20260729,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1153/2026; MECON,Res. 1153/2026; Globaris; MECON,,Sí,"Se identifican signos muy fuertes de preexistencia. El proyecto aprobado bajo RIGI corresponde a LIEX S.A. Sucursal Dedicada en el Salar Tres Quebradas —3Q—, Catamarca. Aunque la Resolución 1153/2026 aprueba una inversión en activos computables por USD 594,136 millones para una planta de 40.000 t/año de carbonato de litio, el proyecto 3Q existía públicamente desde años previos: tuvo evaluación económica preliminar en 2017, estudio de factibilidad en 2021, acuerdo provincial ratificado por ley en 2022, adquisición por Zijin/LIEX en 2022, infraestructura eléctrica asociada tramitada desde 2023–2024 y primera fase en producción desde septiembre de 2025."
29,Vicuña,"Extracción, producción y exportación de cobre, oro y plata de los yacimientos Josemaría y Filo del Sol ubicados en la provincia de San Juan, República Argentina, así como la exploración de las concesiones mineras que forman parte del proyecto y el desarrollo de la infraestructura necesaria para su ejecución. Incluye infraestructura clave para operaciones de minería a cielo abierto: una planta concentradora para el procesamiento de minerales, instalaciones de lixiviación, infraestructura eléctrica, sistemas de suministro de agua, caminos de acceso y alojamientos.",Sí,BHP (Australia); Lundin Mining (Canadá),Vicuña Argentina S.A.,33-61913055-9,Minería,"Cobre, Oro y Plata",San Juan,Cuyo,9737,9025,31700,Aprobado,2025-12-11,2026-06-03,2026-07-30,2026-07-30,Res. 1154/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/345167/20260730,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1154/2026; MECON,Res. 1154/2026; Globaris; MECON,,Sí,"Antes del anuncio inicial del RIGI, Josemaría ya contaba con una factibilidad de noviembre de 2020, una evaluación ambiental aprobada en abril de 2022, ingeniería, adquisición de equipos de larga entrega y USD 276 millones de gastos de capital durante 2023; Filo del Sol también poseía prefactibilidades y exploración avanzada. Estos antecedentes corresponden a los mismos depósitos y, principalmente, a la actual primera etapa basada en Josemaría. Sin embargo, la sociedad conjunta BHP–Lundin se constituyó en enero de 2025, la primera evaluación técnica unificada apareció en febrero de 2026 y la decisión final de inversión continuaba pendiente después de la aprobación."
31,Proyecto Los Azules,"Desarrollo (factibilidad, permisos) y la construcción de mina, planta e infraestructura asociada para extraer y procesar cátodos de cobre",No,McEwen Copper Inc. (Canadá),Andes Corporación Minera SA (ACM),30-70952278-3,Minería,Cobre,San Juan,Cuyo,2672,2354,7391,Aprobado,2025-07-11,2025-09-25,2025-10-13,2025-10-13,Res. 1553/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/332807/20251014,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1553/2025; MECON,Res. 1553/2025; Globaris; MECON,,Ambiguo,"La norma del Proyecto Los Azules menciona que el objetivo es completar el desarrollo (factibilidad y permisos) y construir la mina y planta, lo que sugiere que hay estudios y permisos previos; sin embargo, no se identifica claramente la existencia de una operación activa previa."
36,Gasoducto dedicado para la Exportación de Gas Natural,"Construcción, operación y mantenimiento de un gasoducto dedicado de gas natural destinado exclusivamente a la exportación de Gas Natural Licuado (GNL) que se extenderá desde el Predio Cabecera Tratayén, en la provincia del Neuquén hasta la Estación Compresora San Antonio Oeste en el Golfo San Matías, sito en la provincia de Río Negro, de aproximadamente cuatrocientos ochenta kilómetros (480 km) de longitud, y treinta y seis pulgadas (36”) de diámetro, siendo el objetivo central evacuar la producción incremental de la cuenca Neuquina hacia terminales licuefactoras, aprovechando el potencial de recursos no convencionales provenientes de la formación Vaca Muerta",No,Pan American Energy (PAE) (Argentina),Pan American Energy (PAE),30-71703621-9,Petróleo y Gas,Midstream,Río Negro; Neuquén,Patagonia,1300,955,2489,Aprobado,2025-10-20,2026-06-01,2026-06-25,2026-06-25,Res. 873/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/343613/20260626,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 873/2026; MECON,Res. 873/2026; Globaris; MECON,,Sí,"PAE ya informaba en 2024 que el esquema de GNL requería infraestructura adicional: interconexión a gasoductos troncales, estación compresora, gasoducto terrestre hasta la costa, gasoducto submarino y sistema de amarre. También indicaba que PAE y Golar habían firmado en julio de 2024 un acuerdo por 20 años para instalar el buque Hilli Episeyo en Argentina."
